d3mIndex,Company,Year,Date,Close
644,abbv,2016,01-14,51.213
645,abbv,2016,01-15,53.823
646,abbv,2016,01-19,51.617
647,abbv,2016,01-20,53.643
648,abbv,2016,01-21,54.779
649,abbv,2016,01-22,55.22
650,abbv,2016,01-25,55.052
651,abbv,2016,01-26,54.68600000000001
652,abbv,2016,01-27,53.606
653,abbv,2016,01-28,52.422
654,abbv,2016,01-29,51.532
655,abbv,2016,02-01,51.052
656,abbv,2016,02-02,50.64100000000001
657,abbv,2016,02-03,53.353
658,abbv,2016,02-04,53.277
659,abbv,2016,02-05,49.86
660,abbv,2016,02-08,49.646
661,abbv,2016,02-09,50.199
662,abbv,2016,02-10,49.486
663,abbv,2016,02-11,48.978
664,abbv,2016,02-12,49.354
665,abbv,2016,02-16,50.227
666,abbv,2016,02-17,51.635
667,abbv,2016,02-18,51.20399999999999
668,abbv,2016,02-19,50.959
669,abbv,2016,02-22,51.88800000000001
670,abbv,2016,02-23,51.69
671,abbv,2016,02-24,51.524
672,abbv,2016,02-25,52.753
673,abbv,2016,02-26,52.56399999999999
674,abbv,2016,02-29,51.258
675,abbv,2016,03-01,52.882
676,abbv,2016,03-02,52.283
677,abbv,2016,03-03,52.49800000000001
678,abbv,2016,03-04,52.70399999999999
679,abbv,2016,03-07,52.94
680,abbv,2016,03-08,51.925
681,abbv,2016,03-09,52.93
682,abbv,2016,03-10,52.78
683,abbv,2016,03-11,54.188
684,abbv,2016,03-14,53.7
685,abbv,2016,03-15,52.207
686,abbv,2016,03-16,52.856
687,abbv,2016,03-17,51.925
688,abbv,2016,03-18,53.099
689,abbv,2016,03-21,52.574
690,abbv,2016,03-22,53.97
691,abbv,2016,03-23,52.901
692,abbv,2016,03-24,52.678
693,abbv,2016,03-28,52.668
694,abbv,2016,03-29,53.549
695,abbv,2016,03-30,53.504
696,abbv,2016,03-31,53.61600000000001
697,abbv,2016,04-01,53.897
698,abbv,2016,04-04,55.577
699,abbv,2016,04-05,54.949
700,abbv,2016,04-06,56.216
701,abbv,2016,04-07,55.662
702,abbv,2016,04-08,54.882
703,abbv,2016,04-11,54.91
704,abbv,2016,04-12,56.216
705,abbv,2016,04-13,55.969
706,abbv,2016,04-14,56.177
707,abbv,2016,04-15,56.396
708,abbv,2016,04-18,56.745
709,abbv,2016,04-19,57.021
710,abbv,2016,04-20,57.315
711,abbv,2016,04-21,58.158
712,abbv,2016,04-22,58.206
713,abbv,2016,04-25,57.779
714,abbv,2016,04-26,57.74
715,abbv,2016,04-27,57.523
716,abbv,2016,04-28,57.997
717,abbv,2016,04-29,57.808
718,abbv,2016,05-02,58.224
719,abbv,2016,05-03,58.537
720,abbv,2016,05-04,58.243
721,abbv,2016,05-05,59.076
722,abbv,2016,05-06,59.239
723,abbv,2016,05-09,60.367
724,abbv,2016,05-10,60.404
725,abbv,2016,05-11,59.417
726,abbv,2016,05-12,59.219
727,abbv,2016,05-13,58.754
728,abbv,2016,05-16,59.181
729,abbv,2016,05-17,57.097
730,abbv,2016,05-18,57.295
731,abbv,2016,05-19,56.177
732,abbv,2016,05-20,56.565
733,abbv,2016,05-23,56.19600000000001
734,abbv,2016,05-24,57.523
735,abbv,2016,05-25,58.01600000000001
736,abbv,2016,05-26,58.66
737,abbv,2016,05-27,59.427
738,abbv,2016,05-31,59.636
739,abbv,2016,06-01,59.542
740,abbv,2016,06-02,61.684
741,abbv,2016,06-03,61.596
742,abbv,2016,06-06,59.532
743,abbv,2016,06-07,59.799
744,abbv,2016,06-08,58.499
745,abbv,2016,06-09,57.57
746,abbv,2016,06-10,57.808
747,abbv,2016,06-13,56.793
748,abbv,2016,06-14,56.765
749,abbv,2016,06-15,57.238
750,abbv,2016,06-16,57.712
751,abbv,2016,06-17,56.869
752,abbv,2016,06-20,56.964
753,abbv,2016,06-21,56.84
754,abbv,2016,06-22,57.229
755,abbv,2016,06-23,58.101000000000006
756,abbv,2016,06-24,56.728
757,abbv,2016,06-27,55.609
758,abbv,2016,06-28,56.849
759,abbv,2016,06-29,58.575
760,abbv,2016,06-30,58.67
761,abbv,2016,07-01,59.427
762,abbv,2016,07-05,58.679
763,abbv,2016,07-06,60.053
764,abbv,2016,07-07,60.111
765,abbv,2016,07-08,60.802
766,abbv,2016,07-11,60.983
767,abbv,2016,07-12,62.072
768,abbv,2016,07-13,61.919
769,abbv,2016,07-14,60.819
770,abbv,2016,07-15,60.533
771,abbv,2016,07-18,60.762
772,abbv,2016,07-19,60.533
773,abbv,2016,07-20,60.618
774,abbv,2016,07-21,61.078
775,abbv,2016,07-22,61.0
776,abbv,2016,07-25,61.487
777,abbv,2016,07-26,61.612
778,abbv,2016,07-27,62.043
779,abbv,2016,07-28,61.871
780,abbv,2016,07-29,63.31399999999999
781,abbv,2016,08-01,63.993
782,abbv,2016,08-02,63.841
783,abbv,2016,08-03,63.64
784,abbv,2016,08-04,63.19
785,abbv,2016,08-05,63.61
786,abbv,2016,08-08,63.42
787,abbv,2016,08-09,63.82100000000001
788,abbv,2016,08-10,63.505
789,abbv,2016,08-11,64.003
790,abbv,2016,08-12,64.233
791,abbv,2016,08-15,64.42399999999999
792,abbv,2016,08-16,63.802
793,abbv,2016,08-17,63.88800000000001
794,abbv,2016,08-18,63.831
795,abbv,2016,08-19,64.146
796,abbv,2016,08-22,64.06
797,abbv,2016,08-23,63.257
798,abbv,2016,08-24,62.19600000000001
799,abbv,2016,08-25,61.871
800,abbv,2016,08-26,61.76600000000001
801,abbv,2016,08-29,61.67100000000001
802,abbv,2016,08-30,61.33600000000001
803,abbv,2016,08-31,61.279
804,abbv,2016,09-01,61.21100000000001
805,abbv,2016,09-02,61.29600000000001
